account_id,is_mule_account
ACC-001179,False
ACC-000866,False
ACC-000102,True
ACC-000440,False
ACC-000059,True
ACC-001121,False
ACC-000324,False
ACC-000975,False
ACC-000412,False
ACC-000856,False
ACC-000821,False
ACC-000045,True
ACC-000050,True
ACC-000850,False
ACC-000241,False
ACC-000171,True
ACC-000524,False
ACC-000766,False
ACC-000839,False
ACC-000424,False
ACC-000381,False
ACC-000610,False
ACC-000677,False
ACC-000345,False
ACC-000110,True
ACC-000278,False
ACC-000678,False
ACC-000571,False
ACC-000359,False
ACC-000599,False
ACC-000391,False
ACC-000894,False
ACC-000693,False
ACC-000728,False
ACC-000363,False
ACC-000597,False
ACC-000428,False
ACC-000071,True
ACC-000322,False
ACC-000653,False
ACC-001066,False
ACC-000108,True
ACC-001109,False
ACC-000356,False
ACC-000951,False
ACC-000343,False
ACC-000355,False
ACC-000024,True
ACC-000044,True
ACC-000244,False
ACC-000738,False
ACC-001136,False
ACC-000368,False
ACC-000164,True
ACC-001116,False
ACC-000333,False
ACC-000989,False
ACC-001173,False
ACC-001002,False
ACC-000378,False
ACC-000310,False
ACC-000156,True
ACC-000211,True
ACC-000087,True
ACC-000169,True
ACC-000995,False
ACC-000052,True
ACC-000439,False
ACC-000550,False
ACC-000491,False
ACC-000426,False
ACC-000136,True
ACC-001192,False
ACC-000055,True
ACC-000079,True
ACC-000431,False
ACC-000185,True
ACC-000057,True
ACC-000943,False
ACC-000851,False
ACC-001164,False
ACC-000219,False
ACC-000845,False
ACC-000114,True
ACC-000549,False
ACC-001019,False
ACC-001073,False
ACC-000175,True
ACC-001023,False
ACC-000616,False
ACC-000514,False
ACC-000462,False
ACC-000287,False
ACC-000382,False
ACC-001008,False
ACC-000671,False
ACC-000535,False
ACC-000910,False
ACC-000293,False
ACC-000124,True
ACC-000583,False
ACC-000141,True
ACC-000736,False
ACC-000082,True
ACC-000882,False
ACC-000740,False
ACC-001102,False
ACC-000909,False
ACC-001167,False
ACC-000937,False
ACC-000372,False
ACC-000890,False
ACC-000157,True
ACC-000992,False
ACC-000622,False
ACC-001038,False
ACC-000245,False
ACC-000159,True
ACC-000746,False
ACC-000193,True
ACC-000534,False
ACC-000904,False
ACC-001004,False
ACC-001070,False
ACC-000414,False
ACC-001187,False
ACC-000328,False
ACC-000129,True
ACC-000695,False
ACC-000631,False
ACC-000275,False
ACC-001148,False
ACC-000309,False
ACC-000234,False
ACC-001048,False
ACC-000623,False
ACC-000644,False
ACC-000479,False
ACC-000472,False
ACC-000926,False
ACC-001098,False
ACC-000627,False
ACC-000395,False
ACC-000637,False
ACC-000768,False
ACC-000533,False
ACC-000718,False
ACC-000667,False
ACC-000598,False
ACC-000482,False
ACC-001103,False
ACC-000315,False
ACC-000729,False
ACC-000210,True
ACC-000934,False
ACC-000434,False
ACC-000329,False
ACC-000261,False
ACC-001117,False
ACC-000307,False
ACC-001067,False
ACC-000928,False
ACC-001025,False
ACC-000271,False
ACC-000291,False
ACC-000813,False
ACC-000097,True
ACC-000888,False
ACC-000819,False
ACC-000032,True
ACC-000763,False
ACC-000954,False
ACC-000320,False
ACC-000299,False
ACC-000200,True
ACC-000561,False
ACC-000179,True
ACC-001132,False
ACC-000089,True
ACC-000788,False
ACC-000725,False
ACC-000827,False
ACC-000209,True
ACC-001040,False
ACC-000297,False
ACC-000998,False
ACC-000498,False
ACC-000835,False
ACC-000430,False
ACC-000507,False
ACC-000831,False
ACC-000694,False
ACC-000011,True
ACC-000848,False
ACC-000463,False
ACC-000199,True
ACC-000060,True
ACC-000907,False
ACC-000997,False
ACC-000276,False
ACC-000809,False
ACC-000908,False
ACC-000658,False
ACC-000957,False
ACC-000886,False
ACC-000221,False
ACC-000789,False
ACC-000712,False
ACC-000714,False
ACC-001113,False
ACC-001191,False
ACC-000790,False
ACC-000416,False
ACC-000899,False
ACC-000935,False
ACC-000266,False
ACC-000632,False
ACC-000248,False
ACC-000683,False
ACC-000559,False
ACC-001137,False
ACC-000968,False
ACC-001005,False
ACC-000985,False
ACC-000295,False
ACC-000520,False
ACC-000771,False
ACC-000084,True
ACC-000232,False
ACC-000621,False
ACC-000334,False
ACC-000130,True
ACC-001012,False
ACC-000645,False
ACC-000974,False
ACC-000383,False
ACC-000868,False
ACC-000543,False
ACC-001194,False
ACC-000875,False
ACC-000332,False
ACC-000410,False
ACC-000077,True
ACC-000869,False
ACC-000139,True
ACC-000544,False
ACC-000674,False
ACC-000921,False
ACC-000064,True
ACC-000142,True
ACC-000717,False
ACC-000377,False
ACC-000364,False
ACC-000140,True
ACC-000885,False
ACC-001042,False
ACC-000225,False
ACC-000515,False
ACC-000267,False
ACC-001170,False
ACC-000487,False
ACC-000353,False
ACC-001006,False
ACC-000618,False
ACC-000668,False
ACC-000775,False
ACC-000554,False
ACC-000576,False
ACC-000915,False
ACC-000466,False
ACC-000591,False
ACC-000765,False
ACC-000635,False
ACC-000838,False
ACC-000290,False
ACC-000040,True
ACC-000031,True
ACC-000243,False
ACC-000429,False
ACC-000137,True
ACC-001101,False
ACC-000865,False
ACC-000004,True
ACC-000833,False
ACC-000603,False
ACC-001034,False
ACC-000655,False
ACC-000844,False
ACC-000784,False
ACC-001074,False
ACC-000443,False
ACC-001178,False
ACC-000436,False
ACC-001169,False
ACC-000101,True
ACC-000773,False
ACC-000495,False
ACC-001028,False
ACC-000807,False
ACC-001142,False
ACC-000846,False
ACC-000987,False
ACC-000228,False
ACC-001193,False
ACC-000672,False
ACC-000859,False
ACC-000925,False
ACC-000067,True
ACC-000068,True
ACC-000817,False
ACC-000212,True
ACC-000013,True
ACC-000494,False
ACC-001165,False
ACC-000300,False
ACC-000411,False
ACC-000757,False
ACC-001075,False
ACC-000696,False
ACC-001151,False
ACC-000724,False
ACC-001016,False
ACC-000528,False
ACC-000600,False
ACC-001120,False
ACC-000567,False
ACC-000731,False
ACC-000274,False
ACC-000967,False
ACC-000238,False
ACC-000406,False
ACC-000003,True
ACC-000007,True
ACC-000312,False
ACC-001091,False
ACC-000452,False
ACC-000722,False
ACC-000216,True
ACC-001086,False
ACC-000028,True
ACC-001158,False
ACC-000362,False
ACC-000823,False
ACC-000781,False
ACC-000629,False
ACC-000454,False
ACC-000739,False
ACC-000536,False
ACC-001050,False
ACC-000399,False
ACC-000257,False
ACC-000292,False
ACC-000026,True
ACC-000337,False
ACC-000585,False
ACC-000048,True
ACC-000319,False
ACC-000107,True
ACC-000799,False
ACC-000056,True
ACC-000523,False
ACC-000214,True
ACC-000121,True
ACC-000918,False
ACC-001068,False
ACC-001118,False
ACC-000073,True
ACC-000948,False
ACC-000747,False
ACC-000716,False
ACC-000558,False
ACC-001082,False
ACC-001046,False
ACC-000553,False
ACC-000562,False
ACC-000425,False
ACC-001014,False
ACC-000326,False
ACC-000924,False
ACC-000317,False
ACC-000804,False
ACC-001163,False
ACC-000529,False
ACC-000837,False
ACC-000715,False
ACC-000901,False
ACC-000061,True
ACC-000723,False
ACC-000093,True
ACC-000858,False
ACC-000619,False
ACC-000352,False
ACC-000933,False
ACC-000281,False
ACC-000421,False
ACC-001115,False
ACC-000360,False
ACC-000423,False
ACC-000679,False
ACC-000527,False
ACC-000478,False
ACC-001095,False
ACC-000183,True
ACC-001092,False
ACC-000433,False
ACC-000111,True
ACC-000371,False
ACC-000240,False
ACC-000709,False
ACC-000630,False
ACC-000594,False
ACC-000486,False
ACC-000701,False
ACC-000262,False
ACC-000480,False
ACC-000650,False
ACC-000340,False
ACC-000669,False
ACC-000552,False
ACC-000459,False
ACC-000184,True
ACC-000138,True
ACC-001161,False
ACC-000707,False
ACC-000582,False
ACC-000081,True
ACC-000769,False
ACC-000870,False
ACC-000762,False
ACC-000030,True
ACC-000542,False
ACC-000166,True
ACC-000249,False
ACC-000308,False
ACC-000448,False
ACC-000347,False
ACC-000335,False
ACC-000286,False
ACC-000950,False
ACC-000098,True
ACC-000468,False
ACC-001037,False
ACC-000913,False
ACC-000756,False
ACC-000945,False
ACC-000614,False
ACC-000802,False
ACC-000758,False
ACC-000689,False
ACC-000066,True
ACC-000794,False
ACC-000744,False
ACC-000568,False
ACC-001084,False
ACC-001099,False
ACC-000303,False
ACC-000255,False
ACC-000959,False
ACC-001024,False
ACC-000313,False
ACC-000530,False
ACC-000222,False
ACC-000389,False
ACC-000236,False
ACC-000810,False
ACC-000483,False
ACC-000713,False
ACC-000306,False
ACC-001111,False
ACC-001090,False
ACC-000772,False
ACC-000917,False
ACC-001139,False
ACC-000250,False
ACC-000760,False
ACC-000595,False
ACC-000072,True
ACC-000095,True
ACC-000546,False
ACC-000034,True
ACC-000862,False
ACC-000579,False
ACC-000449,False
ACC-000446,False
ACC-000260,False
ACC-000205,True
ACC-000573,False
ACC-000824,False
ACC-000586,False
ACC-000366,False
ACC-000812,False
ACC-000078,True
ACC-000085,True
ACC-000539,False
ACC-000083,True
ACC-000458,False
ACC-001138,False
ACC-000615,False
ACC-001186,False
ACC-001076,False
ACC-000737,False
ACC-000437,False
ACC-000555,False
ACC-001080,False
ACC-001062,False
ACC-000351,False
ACC-000197,True
ACC-000465,False
ACC-000589,False
ACC-000006,True
ACC-000311,False
ACC-000662,False
ACC-000405,False
ACC-001196,False
ACC-001044,False
ACC-001058,False
ACC-000105,True
ACC-000537,False
ACC-000606,False
ACC-000063,True
ACC-000282,False
ACC-001056,False
ACC-000239,False
ACC-000224,False
ACC-000146,True
ACC-001119,False
ACC-000374,False
ACC-000119,True
ACC-000803,False
ACC-000251,False
ACC-001157,False
ACC-000010,True
ACC-000450,False
ACC-000874,False
ACC-000390,False
ACC-000966,False
ACC-000461,False
ACC-001147,False
ACC-000145,True
ACC-000502,False
ACC-001108,False
ACC-000540,False
ACC-000178,True
ACC-001159,False
ACC-001051,False
ACC-000584,False
ACC-001195,False
ACC-000008,True
ACC-000574,False
ACC-000843,False
ACC-000358,False
ACC-000330,False
ACC-000705,False
ACC-000830,False
ACC-000259,False
ACC-000891,False
ACC-000834,False
ACC-001188,False
ACC-000905,False
ACC-000526,False
ACC-000814,False
ACC-000732,False
ACC-001032,False
ACC-001141,False
ACC-000441,False
ACC-000532,False
ACC-000960,False
ACC-000229,False
ACC-001041,False
ACC-000213,True
ACC-000080,True
ACC-000149,True
ACC-000592,False
ACC-000708,False
ACC-000590,False
ACC-000134,True
ACC-000782,False
ACC-000409,False
ACC-000970,False
ACC-000508,False
ACC-000877,False
ACC-000505,False
ACC-000719,False
ACC-000348,False
ACC-000387,False
ACC-000001,True
ACC-000361,False
ACC-001134,False
ACC-000476,False
ACC-000778,False
ACC-000754,False
ACC-000173,True
ACC-000451,False
ACC-000126,True
ACC-000931,False
ACC-000531,False
ACC-000091,True
ACC-001162,False
ACC-000182,True
ACC-001027,False
ACC-001000,False
ACC-000252,False
ACC-000070,True
ACC-000132,True
ACC-000301,False
ACC-001133,False
ACC-000327,False
ACC-001020,False
ACC-000500,False
ACC-000666,False
ACC-000919,False
ACC-000496,False
ACC-000339,False
ACC-000964,False
ACC-000165,True
ACC-000029,True
ACC-000517,False
ACC-000194,True
ACC-001104,False
ACC-000170,True
ACC-001059,False
ACC-000174,True
ACC-000519,False
ACC-000969,False
ACC-000702,False
ACC-000492,False
ACC-000074,True
ACC-000981,False
ACC-000588,False
ACC-000235,False
ACC-000215,True
ACC-000947,False
ACC-000133,True
ACC-001156,False
ACC-000733,False
ACC-000941,False
ACC-000186,True
ACC-000042,True
ACC-000109,True
ACC-000849,False
ACC-000569,False
ACC-000651,False
ACC-001001,False
ACC-001166,False
ACC-000484,False
ACC-000469,False
ACC-000025,True
ACC-000661,False
ACC-000680,False
ACC-000753,False
ACC-000994,False
ACC-000367,False
ACC-000840,False
ACC-001053,False
ACC-000384,False
ACC-000455,False
ACC-000265,False
ACC-000761,False
ACC-000980,False
ACC-000445,False
ACC-000396,False
ACC-000742,False
ACC-000177,True
ACC-000019,True
ACC-000949,False
ACC-000815,False
ACC-000596,False
ACC-000062,True
ACC-000273,False
ACC-001126,False
ACC-000279,False
ACC-000842,False
ACC-000369,False
ACC-000887,False
ACC-001015,False
ACC-000860,False
ACC-000721,False
ACC-000826,False
ACC-000548,False
ACC-000880,False
ACC-000900,False
ACC-000457,False
ACC-000394,False
ACC-000676,False
ACC-000912,False
ACC-000965,False
ACC-000376,False
ACC-000413,False
ACC-000075,True
ACC-001122,False
ACC-000863,False
ACC-000501,False
ACC-000942,False
ACC-000617,False
ACC-000115,True
ACC-000418,False
ACC-000602,False
ACC-000605,False
ACC-000090,True
ACC-001149,False
ACC-000499,False
ACC-000876,False
ACC-000927,False
ACC-000999,False
ACC-000012,True
ACC-000397,False
ACC-000755,False
ACC-000556,False
ACC-000043,True
ACC-000168,True
ACC-000417,False
ACC-000577,False
ACC-000268,False
ACC-000808,False
ACC-000427,False
ACC-000691,False
ACC-000545,False
ACC-001123,False
ACC-000675,False
ACC-000690,False
ACC-001055,False
ACC-001177,False
ACC-001033,False
ACC-001035,False
ACC-000258,False
ACC-000336,False
ACC-000016,True
ACC-000902,False
ACC-000325,False
ACC-000608,False
ACC-001054,False
ACC-000791,False
ACC-000223,False
ACC-000180,True
ACC-000100,True
ACC-000522,False
ACC-000023,True
ACC-000357,False
ACC-000734,False
ACC-001094,False
ACC-001112,False
ACC-000612,False
ACC-001010,False
ACC-000341,False
ACC-000432,False
ACC-000962,False
ACC-000218,False
ACC-000204,True
ACC-000906,False
ACC-000923,False
ACC-000094,True
ACC-000911,False
ACC-000069,True
ACC-000895,False
ACC-000285,False
ACC-000697,False
ACC-000086,True
ACC-000435,False
ACC-000797,False
ACC-000154,True
ACC-000076,True
ACC-001043,False
ACC-000581,False
ACC-000447,False
ACC-000704,False
ACC-000189,True
ACC-000272,False
ACC-000237,False
ACC-000488,False
ACC-001160,False
ACC-000560,False
ACC-000118,True
ACC-000638,False
ACC-001128,False
ACC-000751,False
ACC-000513,False
ACC-000634,False
ACC-000786,False
ACC-001007,False
ACC-000853,False
ACC-000127,True
ACC-000117,True
ACC-000474,False
ACC-000741,False
ACC-000993,False
ACC-000058,True
ACC-000604,False
ACC-000787,False
ACC-000971,False
ACC-000657,False
ACC-000903,False
ACC-000922,False
ACC-000106,True
ACC-000636,False
ACC-000370,False
ACC-000269,False
ACC-000656,False
ACC-000047,True
ACC-000350,False
ACC-000774,False
ACC-000196,True
ACC-000103,True
ACC-000005,True
ACC-000620,False
ACC-000991,False
ACC-000053,True
ACC-000264,False
ACC-001093,False
ACC-000444,False
ACC-000972,False
ACC-000783,False
ACC-000847,False
ACC-000692,False
ACC-000305,False
ACC-000342,False
ACC-000867,False
ACC-000314,False
ACC-000150,True
ACC-000125,True
ACC-001063,False
ACC-000575,False
ACC-000698,False
ACC-000665,False
ACC-000051,True
ACC-000727,False
ACC-000800,False
ACC-000354,False
ACC-001153,False
ACC-000143,True
ACC-000471,False
ACC-000654,False
ACC-000400,False
ACC-001154,False
ACC-000938,False
ACC-000321,False
ACC-000020,True
ACC-000685,False
ACC-000036,True
ACC-000825,False
ACC-000506,False
ACC-000828,False
ACC-001071,False
ACC-000408,False
ACC-000818,False
ACC-000538,False
ACC-000759,False
ACC-001069,False
ACC-000893,False
ACC-000039,True
ACC-000176,True
ACC-000246,False
ACC-000811,False
ACC-001085,False
ACC-001078,False
ACC-000785,False
ACC-001185,False
ACC-000490,False
ACC-000155,True
ACC-000639,False
ACC-000663,False
ACC-000854,False
ACC-000288,False
ACC-000626,False
ACC-001200,False
ACC-000686,False
ACC-000873,False
ACC-000570,False
ACC-001144,False
ACC-000735,False
ACC-000793,False
ACC-000018,True
ACC-000128,True
ACC-000323,False
ACC-000256,False
ACC-000944,False
ACC-001180,False
ACC-000191,True
ACC-000116,True
ACC-001174,False
ACC-000889,False
ACC-000607,False
ACC-000181,True
ACC-000302,False
ACC-000497,False
ACC-000349,False
ACC-001036,False
ACC-000983,False
ACC-000745,False
ACC-001152,False
ACC-000518,False
ACC-000373,False
ACC-000046,True
ACC-000477,False
ACC-000158,True
ACC-001047,False
ACC-000172,True
ACC-000017,True
ACC-000512,False
ACC-000049,True
ACC-000192,True
ACC-000547,False
ACC-000516,False
ACC-000978,False
ACC-000939,False
ACC-000829,False
ACC-000984,False
ACC-000481,False
ACC-001129,False
ACC-000284,False
ACC-001030,False
ACC-000798,False
ACC-000940,False
ACC-000226,False
ACC-000027,True
ACC-000283,False
ACC-001150,False
ACC-000438,False
ACC-001168,False
ACC-000365,False
ACC-000230,False
ACC-000038,True
ACC-000670,False
